Pos,Team,P,W,D,L,Pts
1,Liverpool,38,25,9,4,84
2,Arsenal,38,20,14,4,74
3,Man City,38,21,8,9,71
4,Chelsea,38,20,9,9,69
5,Aston Villa,38,19,9,10,66
6,Newcastle,38,20,6,12,66
7,Nott'm Forest,38,19,8,11,65
8,Brighton,38,16,13,9,61
9,Brentford,38,16,8,14,56
10,Bournemouth,38,15,11,12,56
11,Fulham,38,15,9,14,54
12,Crystal Palace,38,13,14,11,53
13,Everton,38,11,15,12,48
14,West Ham,38,11,10,17,43
15,Man United,38,11,9,18,42
16,Wolves,38,12,6,20,42
17,Tottenham,38,11,5,22,38
18,Leicester,38,6,7,25,25
19,Ipswich,38,4,10,24,22
20,Southampton,38,2,6,30,12
